board,탑승하다
kneel,무릎을 꿇다
wheelbarrow,외바퀴 손수레
apron,앞치마
stroll,산책하다
awning,차양
unroll,"펼치다, 펼쳐지다"
return,반품하다; 반품
cover,대신하다
experienced,경험이 풍부한
incredible,굉장한
promotion,승진
vice president,부사장
certified,공인된
work from home,재택 근무하다
reliable,신뢰할 만한
budget,예산
promising,유망한
inspector,조사관
deadline,마감 기한
keynote speaker,기조 연설자
charity,자선
require,요구하다
negotiate,협상하다
electronics,전자 제품
confirm,확인하다
requirement,요구조건
gather,모으다
itinerary,일정표
consult,상의하다
workforce,"노동자, 직원"
figure out,"이해하다, 알아내다"
rearrange,재조정하다
relocation,이전
acceptable,수용할 만한
supplier,공급업자
appliance,"기구, 장치"
revise,수정하다
postpone,연기하다
enthusiasm,열정
refuse,거절하다
assignment,할당된 일
streamline,간소화하다
deserve,~을 받을 만하다
credit,"공로, 인정"
down payment,계약금
distribute,배포하다
contribute,기여하다
interfere with,~을 방해하다
agenda,안건
allocation,할당
qualify,자격을 갖추다
cost estimate,비용 견적서
incorrectly,부정확하게
questionnaire,설문지
acquire,획득하다
come up with,제시하다
invoice,송장
place an order,주문하다
inform,알리다
get through,통과하다
look into,조사하다
layout,배치
culinary,요리의
administration,행정실
opportunity,기회
demonstration,시연
initiative,주도권
undertake,착수하다
overview,개관
portable,휴대가 쉬운
inexpensive,저렴한
unload,짐을 내리다
confident,자신감 있는
retain,유지하다
potential,잠재적인
credential,자격 증명
protective,보호용의
specifically,구체적으로
ramp,경사로
